#Table1
ra,dec,z
197.765812138073,-0.788014978218091,0.08014426
194.122284909995,-0.746222569961546,0.1246864
240.288063131171,-1.10907484371556,0.1046262
240.284955119415,-1.09306714071567,0.1051878
209.582520251772,-1.06999427978651,0.1051209
198.544469237915,-1.09705896364626,0.110825
198.526542442188,-1.20513129928041,0.1108853
198.357282355441,-1.12623148330788,0.084243
183.566816096543,-1.13587774148867,0.0996795
183.477789729141,-1.08459607798237,0.1000847
196.608419045521,0.276748537254365,0.09025954
196.516709146237,0.347064043133073,0.0895499
195.644360768067,0.348564638983293,0.0677539
242.44623828707,-0.0184981602352139,0.08048908
238.249753327222,-0.00527359904372889,0.08963996
214.514366839038,0.51153341336376,0.1250686
216.013930161846,0.49939898044166,0.1249595
216.319997786306,0.54553602845151,0.08427076
216.486161818102,0.612934791834473,0.05541833
216.989338833273,0.58894274484703,0.08430807
217.168229218453,0.609805265623017,0.105078
217.385960857505,0.493807810711401,0.0555293
217.558626670159,0.509809975860425,0.09618618
221.263726422944,0.526978719187992,0.02873155
221.71120886724,0.468614706553582,0.055526
221.766733248506,0.479062035030444,0.05581114
221.774355540313,0.585563069312692,0.0957781
224.379513947526,0.437444346853869,0.08371136
225.078349644306,0.46925206732035,0.08413497
227.181531239585,0.571998395581635,0.09004497
227.378647695971,0.513283418833572,0.09548915
227.670384913493,0.577126488018225,0.03933161
228.537867331574,0.506388702984311,0.09957694
228.540746052036,0.553564856647394,0.09961397
228.543461579007,0.522171921220714,0.09974685
230.407753462267,0.466026588305341,0.02867431
232.020197348394,0.620320631278233,0.08413158
232.898624488575,0.426134202370286,0.08029238
232.915114010834,0.522262623169788,0.08007087
233.147748020314,0.593394128871429,0.08063264
233.367343837367,0.430494650907773,0.03913505
234.841161518705,0.6159873593599,0.08435758
235.414388114089,0.55718663597734,0.07204402
235.41754436452,0.490474459977104,0.07207149
236.021178658165,0.5896829944851,0.1110412
236.289706240816,0.606407581764439,0.07174163
238.981607686271,0.528268375421995,0.07173038
239.113658900384,0.519487006255664,0.07197141
241.040462739984,0.474069150249624,0.06241927
241.606756808008,0.563636905603739,0.06301975
241.624034633702,0.58318406306919,0.06284235
241.708348508986,0.481207960276425,0.062571
242.274302590562,0.571680611650499,0.06750042
244.015127590467,0.530783910146037,0.05601535
244.330160617177,0.595102026650306,0.05573868
244.683289193169,0.601065081883928,0.08433029
245.177247536337,0.516164657023886,0.04720536
245.572917936453,0.634573694311339,0.08401904
245.585238586643,0.599764187737984,0.08430589
245.859601373018,0.555843776429754,0.08057082
245.92995629456,0.447849477329256,0.08369198
247.772831688353,0.590353181374804,0.0718553
248.606750591671,0.610338999533807,0.09000948
184.232801040948,0.919768872147755,0.02879064
184.52797057532,1.00536858457425,0.1250014
184.67286172358,0.916741596150647,0.06318177
185.025745514716,0.961205680021696,0.09007793
186.835913609558,0.955798535846699,0.09609642
187.653033449244,0.846251530456035,0.02298159
187.921812178839,0.959248946723593,0.02322375
189.289979334436,0.901500795263721,0.08040059
189.57441263921,1.03427221499254,0.08056813
190.223473298737,1.00835660383573,0.02290753
190.239102396804,0.987226260784765,0.02312812
190.28554307685,0.863274176681118,0.08953864
193.139092757077,0.921870738430865,0.04673638
193.429455281421,1.02112161258681,0.09938732
195.126589940218,1.04653622333085,0.06755786
195.159992809557,1.01235448343367,0.06702032
197.050855713233,1.05159316216376,0.08422304
197.170685881849,1.02649657445008,0.08035431
197.241604763877,0.907570870845931,0.08063316
197.679062669434,0.892110155376538,0.09591818
197.944385430707,0.990177587252845,0.04661145
198.014174784153,1.02121663038772,0.07152478
198.22808042146,1.03597529213887,0.0719073
198.610429811823,0.908926665372693,0.08040848
199.144173481136,0.954527495514244,0.08028923
199.295540579774,0.913564542900134,0.08058354
199.233533469231,1.03016147482146,0.08039006
199.49803949761,0.943323946723852,0.1107085
199.527668511959,0.910969748634893,0.1104633
199.541958816105,0.985716360683612,0.1105595
200.214838900773,0.97371620858181,0.1104253
200.257328953699,0.966600939748729,0.06722397
200.753359680392,1.03391081272819,0.110897
201.281338023159,0.915852539153957,0.04734126
201.502267807802,0.970450427264606,0.1101857
201.779886749455,0.969692758878389,0.04734165
202.310954096831,0.981259727684311,0.1101866
202.337794876324,0.991338345133617,0.1105159
202.624511158591,0.891989400347417,0.06715671
205.239693212086,0.926121229132518,0.02373547
206.983649538164,1.04825355375814,0.0716391
208.461309260852,0.845333859090378,0.06249537
211.534077070114,0.917438506328095,0.07184339
211.715772091616,0.850121948471042,0.04758606
214.174144128744,0.917384015708736,0.08408771
214.199614844897,0.911439238902214,0.08402537
214.385815226905,0.882788495375239,0.0557272
218.759023945025,0.986693989386238,0.1247475
218.825134629596,1.01132148489399,0.1248533
221.555619420929,0.866052286767167,0.02878382
221.954869427798,1.05158659640128,0.02861903
221.956747918436,1.05197728434499,0.0286116
227.13145986995,0.879063143723233,0.07204974
230.729550846914,0.904134452634098,0.03906121
237.648144244393,0.868745751175741,0.1104389
242.560944751766,1.05569118760699,0.02783617
243.175302891215,0.954792661059753,0.08058327
243.361287526561,0.904210758127156,0.05608396
244.414309453074,1.02397639093164,0.05618554
244.414909933145,0.947153790340903,0.05634584
244.440592532109,0.891396383028989,0.0842878
244.488711914355,0.927658734451373,0.05603799
244.813620678978,0.938027356420568,0.05628066
245.998214036756,1.01377914362696,0.08028603
249.504122603459,0.976351483508548,0.110159
139.980555527942,-0.997994717491449,0.09587557
142.403125327737,-0.887107176808425,0.07189654
145.821638182128,-0.846601885046273,0.06770252
150.405833096303,-0.943491695960046,0.04726475
150.392305125398,-0.907111207851434,0.04718106
150.639735519715,-0.909309629551774,0.04725183
150.989449586702,-1.03210973307986,0.08390897
151.677086153567,-0.892613101979086,0.0955369
152.093422760368,-0.859613907821896,0.09536429
153.343354576485,-0.871817329630986,0.04748411
153.472691437392,-0.876672195854837,0.0467645
153.539576864111,-0.898439893700311,0.04715846
153.531678344419,-0.874336322077714,0.0471465
153.573386512978,-0.953673202600439,0.04638718
153.688971108371,-0.879504333812011,0.04731286
153.898219215873,-1.00150629900931,0.08365821
154.257929755323,-0.859486000637493,0.06264437
155.185374370507,-0.979828258186768,0.08411594
155.20056885723,-0.985719868704888,0.08379171
155.358463469121,-1.01161274736316,0.07146545
156.973968098314,-0.956461263951596,0.08963351
157.049488316999,-0.921717134118311,0.05593275
157.036096433092,-0.853758760353892,0.062991
158.178864349198,-0.852962678150364,0.03933707
160.144321888775,-0.909414057564798,0.03899339
160.097421898433,-0.936311875870938,0.03882479
149.794243153907,-0.859430542241125,0.1045381
148.585015116825,-0.942078164890356,0.08391871
148.573598963942,-0.899012875454224,0.08971591
148.565587239354,-0.936092311604233,0.08971721
148.508654837189,-0.892229022411282,0.09035492
148.432503364382,-1.02642035923546,0.1102809
145.681099905386,-0.867224653278381,0.06759457
247.557120313994,0.98570295453411,0.08984513
227.463528928393,0.849166258291438,0.1251765
227.257367432011,0.981971304256776,0.1250415
160.613410492995,-1.02922590172957,0.08019475
